                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.81,                 6.8899,                 2.1441,                0.85353,                0.29339,                0.31195,                0.11876,                  2.124,                 1.0626,                 1.1856,               0.000553,               0.000553,               0.000553
                      2,                 2.2092,                 1.1499,                 1.1369,                0.90078,                0.36409,                0.38839,                0.15795,                 1.9268,                 0.9925,                   1.08,              0.0010977,              0.0010977,              0.0010977
                      3,                 2.0922,                 1.0429,                 1.0876,                0.87382,                0.33596,                0.35384,                0.12991,                 2.0043,                0.99125,                 1.0985,              0.0016314,              0.0016314,              0.0016314
                      4,                 1.9996,                0.96104,                 1.0631,                0.37701,                0.35632,                0.35733,                0.12348,                 2.0391,                0.97838,                 1.0933,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9429,                0.90486,                 1.0471,                0.42892,                0.40423,                0.42521,                0.18206,                 1.8129,                0.81879,                 1.0431,               0.001601,               0.001601,               0.001601
                      6,                 1.8972,                0.87734,                 1.0391,                0.43766,                0.40787,                0.43243,                0.19673,                 1.7563,                0.80447,                 1.0363,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.8711,                0.85605,                  1.024,                0.43459,                0.39908,                0.43152,                0.19243,                 1.7803,                0.86308,                 1.0303,               0.001568,               0.001568,               0.001568
                      8,                  1.857,                0.83738,                 1.0214,                0.43821,                 0.4125,                0.43459,                0.20411,                 1.7158,                0.77382,                 1.0159,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8403,                0.83069,                 1.0158,                0.43673,                0.41036,                0.42819,                0.19097,                 1.7112,                0.77972,                  1.013,               0.001535,               0.001535,               0.001535
                     10,                 1.8186,                0.80986,                 1.0099,                0.44328,                0.41777,                0.44402,                0.20701,                 1.7168,                0.75573,                   1.02,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.8238,                0.81144,                 1.0086,                0.44694,                0.43141,                0.45016,                0.21324,                 1.7009,                0.74475,                 1.0117,               0.001502,               0.001502,               0.001502
                     12,                 1.7927,                0.79395,                 1.0039,                0.44944,                0.43148,                0.44621,                0.21288,                 1.7312,                0.74671,                 1.0137,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.7799,                0.78224,                 1.0017,                0.45912,                0.43394,                0.45214,                0.21282,                 1.7168,                0.74262,                 1.0112,               0.001469,               0.001469,               0.001469
                     14,                 1.7825,                0.78459,                  1.007,                0.43888,                0.41623,                0.43881,                0.20587,                 1.7033,                0.73584,                 1.0115,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7776,                0.77874,                 1.0007,                 0.4253,                0.40461,                0.42872,                0.18146,                 1.8366,                0.79053,                 1.0395,               0.001436,               0.001436,               0.001436
                     16,                  1.778,                0.77733,                 1.0022,                0.44104,                0.41267,                0.43834,                0.20798,                 1.6988,                0.73273,                 1.0091,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.7812,                0.77985,                 1.0018,                0.44678,                0.42581,                0.44958,                0.20806,                 1.7517,                0.73486,                 1.0235,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.7706,                0.77035,                0.99652,                0.45317,                0.43045,                0.45499,                0.22038,                 1.6878,                 0.7106,                 1.0045,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.7546,                0.75613,                0.99439,                0.44682,                0.41752,                0.44482,                0.21477,                 1.6713,                0.73129,                 1.0015,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.7529,                  0.756,                0.99659,                0.45616,                0.43627,                0.45854,                0.22471,                 1.6533,                0.69767,                0.99762,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.7655,                0.76138,                0.99281,                0.45389,                0.43001,                0.45413,                0.22216,                 1.6491,                0.72836,                0.99444,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.7537,                 0.7518,                0.99206,                0.45196,                0.42232,                 0.4489,                0.21423,                 1.6736,                0.72115,                 1.0051,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.7579,                0.75524,                 0.9958,                0.42469,                0.39871,                0.42249,                0.18261,                 1.8314,                0.75981,                 1.0394,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.7374,                0.74652,                0.99419,                0.44829,                0.43658,                0.45341,                0.21314,                 1.7016,                0.71483,                 1.0119,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.7411,                0.74853,                0.98732,                0.45326,                0.42957,                0.44915,                0.21422,                 1.6748,                0.72445,                  1.001,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.7341,                0.73544,                0.98943,                0.45397,                0.43237,                0.45693,                0.22358,                 1.6534,                0.69902,                0.99815,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.7196,                0.73346,                0.99225,                0.44114,                0.42113,                0.44621,                0.20526,                 1.7291,                0.71838,                 1.0165,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.7354,                0.73977,                0.99358,                0.44713,                0.42741,                0.45153,                0.21677,                 1.6831,                0.70807,                 1.0055,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.7307,                0.73795,                0.99072,                0.45182,                0.43111,                0.45556,                0.22304,                 1.6561,                0.69232,                0.99913,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.7326,                0.73534,                0.98836,                0.44188,                0.42047,                0.44642,                0.21228,                 1.6814,                0.71926,                 1.0019,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.7245,                0.73244,                0.98738,                0.43526,                0.41924,                0.44631,                0.21179,                  1.702,                 0.7211,                 1.0082,              0.0011719,              0.0011719,              0.0011719
                     32,                  1.724,                0.73913,                0.98656,                  0.445,                0.42976,                0.45072,                 0.2105,                 1.6967,                0.73094,                 1.0078,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.7064,                0.72542,                 0.9861,                0.44911,                0.42894,                0.45449,                0.21722,                 1.6558,                0.70756,                0.99553,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.7118,                0.71755,                0.98254,                0.45719,                0.44481,                0.46074,                 0.2297,                 1.6498,                0.68671,                0.99553,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.6957,                0.71329,                0.97809,                0.45343,                0.43769,                 0.4584,                0.22452,                 1.6508,                0.69001,                0.99925,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.7067,                0.72194,                0.98653,                0.46314,                0.43766,                0.46136,                0.22664,                 1.6366,                 0.6858,                0.99071,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.6954,                 0.7099,                0.97864,                0.46577,                0.44334,                0.46333,                0.23165,                 1.6263,                0.67679,                0.98998,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7049,                0.71676,                0.98817,                0.46004,                0.44061,                0.46285,                 0.2269,                 1.6557,                0.67209,                0.99497,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.6901,                0.70546,                0.97916,                0.45339,                0.43929,                0.46086,                0.22629,                 1.6515,                0.65555,                  1.001,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7041,                0.71132,                0.97826,                0.44698,                 0.4336,                0.45588,                0.21493,                  1.728,                0.69067,                 1.0175,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.7109,                0.70977,                0.98652,                0.45999,                0.44354,                0.46464,                0.23312,                 1.6375,                0.65728,                0.99154,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.6694,                0.70107,                0.97362,                0.45733,                0.43658,                0.46092,                0.23124,                 1.6301,                0.67131,                0.98966,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.7073,                0.71066,                0.98705,                0.45367,                 0.4314,                0.45825,                0.22987,                 1.6266,                0.67117,                0.98983,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.6843,                0.70191,                0.97599,                0.45205,                0.43778,                0.45834,                0.22365,                  1.654,                0.66999,                0.99663,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.6865,                0.70132,                0.98062,                0.44097,                0.42905,                 0.4505,                 0.2155,                 1.6715,                0.67579,                 1.0002,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.6778,                0.68855,                0.97974,                0.45979,                0.44323,                0.46397,                0.23155,                 1.6277,                0.65469,                0.98925,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.6835,                0.70135,                0.97826,                0.45878,                0.43993,                0.46134,                0.23132,                 1.6252,                0.67357,                 0.9894,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.6701,                0.69174,                0.97825,                0.45434,                0.43787,                0.46066,                0.23081,                 1.6203,                0.65795,                0.98898,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.6706,                0.69149,                0.97911,                0.45381,                0.43634,                 0.4591,                0.22339,                 1.6562,                0.66503,                0.99757,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.6659,                0.68975,                0.97613,                0.45763,                0.44202,                 0.4625,                0.22943,                 1.6179,                 0.6577,                0.98983,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.6818,                0.69743,                0.98009,                0.45892,                0.44266,                0.46429,                0.23194,                 1.6246,                0.66431,                0.98893,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.6706,                0.68921,                0.97564,                0.45831,                0.44037,                0.46255,                0.23193,                 1.6172,                0.65764,                0.98675,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.6847,                0.69609,                0.98076,                0.45795,                 0.4435,                0.46348,                0.23303,                 1.6188,                0.65192,                0.98892,             0.00080883,             0.00080883,             0.00080883
                     54,                  1.666,                0.68572,                0.97243,                0.44932,                0.44068,                0.46033,                0.22796,                 1.6355,                0.65782,                0.99183,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.6674,                0.68799,                0.97386,                0.45747,                 0.4403,                0.46194,                0.22944,                 1.6208,                0.65568,                0.98865,             0.00077582,             0.00077582,             0.00077582
                     56,                  1.659,                0.68331,                0.97604,                0.45629,                0.44184,                0.46148,                 0.2282,                 1.6365,                0.65279,                0.99265,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6563,                0.68074,                0.97831,                0.45619,                 0.4427,                0.46358,                0.23118,                 1.6279,                0.64691,                0.98915,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.6639,                0.68219,                 0.9741,                0.46474,                0.44832,                0.46612,                 0.2326,                 1.6112,                0.65592,                 0.9856,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.6603,                 0.6824,                 0.9739,                0.45807,                0.44279,                0.46385,                0.23243,                 1.6187,                0.64709,                0.98683,             0.00070981,             0.00070981,             0.00070981
                     60,                   1.64,                0.67887,                0.97148,                0.45926,                0.44725,                 0.4655,                0.23269,                 1.6153,                0.64096,                 0.9876,             0.00069331,             0.00069331,             0.00069331
                     61,                   1.65,                0.67339,                0.96715,                0.45462,                0.44318,                0.46445,                0.23457,                 1.6241,                0.63942,                0.98932,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.6527,                0.67904,                0.97194,                0.45808,                0.44076,                0.46413,                0.23342,                 1.6145,                0.65531,                0.98699,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.6512,                0.67481,                0.96884,                0.45932,                0.44294,                0.46565,                0.23325,                 1.6253,                 0.6517,                0.98822,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.6441,                0.66794,                0.96954,                0.46107,                  0.446,                0.46725,                0.23611,                 1.6085,                0.64114,                0.98512,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.6396,                0.66723,                0.96862,                0.45374,                0.44162,                0.46271,                0.23012,                 1.6334,                0.64493,                0.99198,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.6487,                0.67563,                0.97014,                0.46108,                0.44654,                0.46657,                0.23572,                 1.6088,                0.65271,                0.98408,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.6415,                0.66879,                0.96535,                0.46275,                0.44746,                 0.4664,                0.23504,                  1.609,                0.63864,                0.98476,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.6274,                0.66441,                0.95999,                0.45749,                 0.4446,                0.46465,                0.23127,                  1.619,                0.63807,                0.98835,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.6308,                0.66375,                0.96825,                0.45847,                 0.4431,                0.46489,                0.23357,                 1.6176,                0.63568,                0.98716,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.6386,                0.67097,                0.96682,                0.46088,                0.44519,                0.46531,                0.23141,                 1.6096,                0.63846,                0.98622,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.6222,                0.66098,                0.96895,                0.46145,                0.44556,                0.46618,                0.23498,                 1.6048,                0.63345,                0.98405,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.6189,                0.66007,                0.96762,                0.45939,                0.44642,                0.46576,                0.23443,                 1.6172,                0.63408,                0.98682,             0.00049527,             0.00049527,             0.00049527
                     73,                  1.635,                0.66578,                0.96735,                0.45993,                0.44657,                0.46775,                0.23802,                 1.6115,                0.62909,                0.98725,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.6231,                 0.6545,                0.96324,                0.46013,                 0.4462,                0.46736,                0.23618,                 1.6155,                 0.6291,                0.98681,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.6172,                0.65749,                0.96181,                0.46306,                0.44742,                0.46752,                0.23646,                 1.6114,                0.63353,                0.98547,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.623,                0.65396,                 0.9589,                0.45962,                0.44571,                0.46718,                0.23774,                 1.6073,                0.62833,                0.98588,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.6103,                 0.6501,                 0.9674,                0.45944,                0.44534,                0.46526,                0.23221,                 1.6199,                0.63038,                0.98736,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.6207,                 0.6536,                 0.9651,                0.45714,                0.44467,                0.46631,                0.23395,                 1.6228,                 0.6355,                0.98869,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.6088,                0.64524,                0.96197,                0.46024,                0.44556,                0.46608,                0.23608,                 1.6064,                 0.6305,                0.98469,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.6061,                0.64836,                0.95832,                0.46255,                0.44762,                0.46768,                 0.2367,                  1.608,                0.62763,                0.98541,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.6145,                0.64953,                0.96252,                0.45987,                0.44623,                0.46665,                0.23534,                 1.6148,                 0.6293,                0.98523,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.6128,                0.64726,                0.96501,                0.46095,                 0.4496,                 0.4682,                0.23662,                 1.6095,                0.62726,                0.98422,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.5961,                0.64604,                0.96065,                0.46289,                0.45023,                0.46862,                0.23851,                 1.6111,                0.62031,                0.98489,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.6014,                0.64103,                0.96481,                0.46376,                0.45066,                0.46839,                0.23596,                 1.6134,                0.62979,                0.98499,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.6119,                0.64678,                0.96147,                0.46167,                0.44617,                  0.467,                 0.2381,                 1.6088,                0.62211,                0.98386,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.6092,                0.64679,                0.96082,                0.46089,                0.44743,                0.46736,                0.23703,                 1.6072,                 0.6223,                0.98399,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.602,                0.64312,                0.95514,                0.46174,                0.44964,                0.46859,                0.23848,                 1.6047,                0.62143,                0.98359,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.5887,                0.63395,                0.95895,                0.46244,                0.44823,                0.46894,                0.23845,                 1.6083,                0.61921,                0.98509,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.5931,                0.63431,                0.95558,                0.46315,                0.45048,                0.46953,                0.23871,                 1.6067,                0.61854,                0.98398,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.5989,                0.63735,                0.95569,                 0.4622,                0.44692,                 0.4682,                0.23825,                 1.6093,                0.61967,                0.98509,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.5957,                0.62743,                0.99052,                0.46251,                0.44713,                0.46727,                0.23771,                 1.6104,                 0.6223,                 0.9852,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.5884,                0.62318,                0.98773,                 0.4619,                0.44948,                0.46785,                0.23794,                 1.6064,                0.61863,                0.98419,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.5844,                0.62115,                0.98316,                0.46177,                0.44605,                0.46745,                0.23725,                 1.6098,                0.61906,                0.98456,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.5813,                0.61905,                0.98771,                0.46346,                 0.4492,                0.46871,                0.23917,                 1.6018,                0.61897,                 0.9828,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.5681,                0.61217,                0.98241,                0.46255,                0.44759,                0.46782,                0.23806,                 1.6116,                0.61748,                0.98551,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.5715,                0.61498,                0.98672,                0.46101,                0.44709,                0.46732,                0.23813,                 1.6075,                0.61983,                0.98378,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.5688,                0.61209,                0.98453,                0.46121,                 0.4478,                0.46783,                0.23791,                 1.6098,                0.61836,                0.98455,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.5603,                0.60615,                  0.982,                0.46399,                0.44845,                0.46832,                0.23903,                 1.6058,                0.61625,                0.98391,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.5645,                0.60943,                0.98233,                0.46346,                0.44894,                0.46902,                0.23958,                 1.6057,                0.61453,                 0.9848,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.5578,                0.60577,                0.98068,                0.46133,                0.44809,                0.46801,                0.23824,                 1.6111,                0.61581,                0.98554,             3.3173e-05,             3.3173e-05,             3.3173e-05
